receipt_id,user_id,bonusPointsEarned,bonusPointsEarnedReason,createDate_epoch,createDate,dateScanned_epoch,dateScanned,finishedDate_epoch,finishedDate,ModifyDate_epoch,modifyDate,pointsAwardedDate_epoch,pointsAwardedDate,purchaseDate_epoch,purchaseDate,pointsEarned,purchasedItemCount,rewardsReceiptStatus,totalSpent
5ff1e1eb0a720f0523000575,5ff1e1eacfcf6c399c274ae6,500.0,"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1609687531000,2021-01-03 15:25:31.000,1609687531000,2021-01-03 15:25:31.000,1609687531000.0,2021-01-03 15:25:31.000,1609687536000,2021-01-03 15:25:36.000,1609687531000.0,2021-01-03 15:25:31,1609632000000.0,2021-01-03 00:00:00,500.0,5.0,FINISHED,26.0
5ff1e1bb0a720f052300056b,5ff1e194b6a9d73a3a9f1052,150.0,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1609687483000,2021-01-03 15:24:43.000,1609687483000,2021-01-03 15:24:43.000,1609687483000.0,2021-01-03 15:24:43.000,1609687488000,2021-01-03 15:24:48.000,1609687483000.0,2021-01-03 15:24:43,1609601083000.0,2021-01-02 15:24:43,150.0,2.0,FINISHED,11.0
5ff1e1f10a720f052300057a,5ff1e1f1cfcf6c399c274b0b,5.0,All-receipts receipt bonus,1609687537000,2021-01-03 15:25:37.000,1609687537000,2021-01-03 15:25:37.000,,,1609687542000,2021-01-03 15:25:42.000,,,1609632000000.0,2021-01-03 00:00:00,5.0,1.0,REJECTED,10.0
5ff1e1ee0a7214ada100056f,5ff1e1eacfcf6c399c274ae6,5.0,All-receipts receipt bonus,1609687534000,2021-01-03 15:25:34.000,1609687534000,2021-01-03 15:25:34.000,1609687534000.0,2021-01-03 15:25:34.000,1609687539000,2021-01-03 15:25:39.000,1609687534000.0,2021-01-03 15:25:34,1609632000000.0,2021-01-03 00:00:00,5.0,4.0,FINISHED,28.0
5ff1e1d20a7214ada1000561,5ff1e194b6a9d73a3a9f1052,5.0,All-receipts receipt bonus,1609687506000,2021-01-03 15:25:06.000,1609687506000,2021-01-03 15:25:06.000,1609687511000.0,2021-01-03 15:25:11.000,1609687511000,2021-01-03 15:25:11.000,1609687506000.0,2021-01-03 15:25:06,1609601106000.0,2021-01-02 15:25:06,5.0,2.0,FINISHED,1.0
5ff1e1e40a7214ada1000566,5ff1e1e4cfcf6c399c274ac3,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1609687524000,2021-01-03 15:25:24.000,1609687524000,2021-01-03 15:25:24.000,1609687525000.0,2021-01-03 15:25:25.000,1609687530000,2021-01-03 15:25:30.000,1609687525000.0,2021-01-03 15:25:25,1609601124000.0,2021-01-02 15:25:24,750.0,1.0,FINISHED,3.25
5ff1e1cd0a720f052300056f,5ff1e194b6a9d73a3a9f1052,5.0,All-receipts receipt bonus,1609687501000,2021-01-03 15:25:01.000,1609687501000,2021-01-03 15:25:01.000,1609687502000.0,2021-01-03 15:25:02.000,1609687502000,2021-01-03 15:25:02.000,1609687502000.0,2021-01-03 15:25:02,1609687501000.0,2021-01-03 15:25:01,5.0,1.0,FINISHED,2.23
5ff1e1a40a720f0523000569,5ff1e194b6a9d73a3a9f1052,500.0,"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1609687460000,2021-01-03 15:24:20.000,1609687460000,2021-01-03 15:24:20.000,1609687461000.0,2021-01-03 15:24:21.000,1609687461000,2021-01-03 15:24:21.000,1609687461000.0,2021-01-03 15:24:21,1609027200000.0,2020-12-27 00:00:00,500.0,1.0,FINISHED,10.0
5ff1e1ed0a7214ada100056e,5ff1e1eacfcf6c399c274ae6,5.0,All-receipts receipt bonus,1609687533000,2021-01-03 15:25:33.000,1609687533000,2021-01-03 15:25:33.000,1609687534000.0,2021-01-03 15:25:34.000,1609687538000,2021-01-03 15:25:38.000,1609687534000.0,2021-01-03 15:25:34,1609632000000.0,2021-01-03 00:00:00,5.0,5.0,FINISHED,20.0
5ff1e1eb0a7214ada100056b,5ff1e1eacfcf6c399c274ae6,250.0,"Receipt number 3 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1609687531000,2021-01-03 15:25:31.000,1609687531000,2021-01-03 15:25:31.000,1609687531000.0,2021-01-03 15:25:31.000,1609687536000,2021-01-03 15:25:36.000,1609687531000.0,2021-01-03 15:25:31,1609632000000.0,2021-01-03 00:00:00,250.0,3.0,FINISHED,20.0
5ff1e1c50a720f052300056c,5ff1e194b6a9d73a3a9f1052,100.0,"Receipt number 6 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1609687493000,2021-01-03 15:24:53.000,1609687493000,2021-01-03 15:24:53.000,1609687493000.0,2021-01-03 15:24:53.000,1609687493000,2021-01-03 15:24:53.000,1609687493000.0,2021-01-03 15:24:53,1609601093000.0,2021-01-02 15:24:53,100.0,1.0,FINISHED,1.0
5ff1e1a10a720f0523000568,5ff1e194b6a9d73a3a9f1052,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1609687457000,2021-01-03 15:24:17.000,1609687457000,2021-01-03 15:24:17.000,1609688360000.0,2021-01-03 15:39:20.000,1609688360000,2021-01-03 15:39:20.000,1609687459000.0,2021-01-03 15:24:19,1609545600000.0,2021-01-02 00:00:00,750.0,5.0,FINISHED,50.0
